dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
100,50,2.130853,3.935780,5.268364,0.275081,38.530550,0.023848,54.603386,3.496885,15.137288,21.955398,2.868103,0.022324,8.104001,52.589092
100,50,1.116936,3.958687,3.452368,0.320378,31.204238,0.025851,46.596975,7.969301,14.236950,10.700045,2.577693,0.018589,9.307106,44.896236
100,50,1.170998,3.723864,3.249922,0.403929,29.950878,0.023141,40.912787,3.872292,12.076573,16.417514,2.771685,0.014627,3.887114,39.152031
100,50,1.168322,3.457558,3.073149,0.309110,37.181968,0.022243,48.054786,6.147748,15.432238,16.237744,2.972041,0.023261,5.265792,46.166287
100,50,1.120810,3.635823,3.365321,0.313213,39.356808,0.022722,54.796741,4.885149,18.375080,16.172047,4.330802,0.021735,7.004022,52.002422
100,50,1.534150,3.323284,3.057795,0.301270,37.388185,0.024610,51.139266,3.789433,16.157666,18.623787,2.345432,0.021360,6.785282,48.524645
100,50,1.731849,3.247247,3.246215,0.284648,40.957684,0.023142,54.831635,4.724162,15.238198,20.790862,3.589182,0.022702,6.356534,51.787120
100,50,1.154658,2.912651,3.795121,1.260568,24.724623,0.023820,36.971832,4.360154,19.077955,3.266969,1.830361,0.108345,5.655830,35.080748
100,50,1.153527,2.753280,2.965645,0.901137,36.843510,0.023379,50.183404,5.321236,14.322941,18.156300,2.902167,0.022412,4.907049,48.321094
100,50,1.228306,2.789731,2.889198,0.427996,43.982012,0.023341,56.555559,5.234874,21.338533,17.048191,3.789815,0.020749,5.109147,54.544289
100,50,1.122609,2.820380,2.929798,0.260991,45.455859,0.023468,59.912613,7.761781,19.138030,16.616398,3.583610,0.027867,9.626345,57.484233
100,75,1.125927,2.825880,2.879088,4.780118,32.987144,0.024687,54.641618,5.971286,11.633376,18.409430,1.905282,0.022518,12.773826,51.641016
100,75,1.130390,3.051412,10.308148,3.522914,38.366840,0.024562,60.788931,4.100778,20.141645,16.875477,3.393558,0.024797,12.872192,58.524926
100,75,2.334574,7.780940,3.248667,6.626222,25.373545,0.024616,52.608223,7.163399,12.661098,17.966334,2.816571,0.015896,7.375322,49.067719
100,75,1.380583,8.484276,3.117858,9.821681,14.514424,0.024354,62.791827,6.839615,11.879653,12.205587,2.785321,0.016414,8.886483,42.724384
100,75,1.834915,3.370363,7.275752,14.756132,21.492836,0.034831,52.561783,5.092591,18.413950,12.531508,3.012763,0.023890,8.769853,48.895171
100,75,1.122188,3.496756,5.336370,0.837098,38.002905,0.024083,52.568182,4.461258,18.525870,14.747704,2.487163,0.054517,7.007042,48.527584
100,75,1.103952,2.799620,2.874262,0.237793,39.047375,0.023705,53.328113,5.801886,17.431858,14.732859,2.690994,0.024395,5.274024,49.810932
100,75,1.155062,2.852980,4.954769,0.483989,39.314016,0.024203,55.977140,4.487782,20.334458,14.368345,3.685124,0.024532,7.890714,52.940798
100,75,1.937419,5.733360,5.209929,1.386597,38.134739,0.024689,59.141548,3.691991,17.583071,22.382257,2.683416,0.026224,8.252660,56.689632
